Engleza,Romana
I think it's time for me to discuss the matter with him.,Cred că a sosit timpul să discut chestiunea cu el.
They are the ones who want to go.,Ei sunt cei care vor să meargă.
You are saying you intentionally hide your good looks?,Spui că intenționat ți-ascunzi frumusețea?
It may freeze next week.,Ar putea fi îngheț săptămâna viitoare.
I want a boat that will take me far away from here.,Vreau o barcă care să mă ducă departe de aici.
Who will provide capital for the venture?,Cine va oferi capital pentru această întreprindere?
The Colonel said the situation is under control.,Colonelul a zis că situaţia este sub control.
I wasn't on time for school this morning.,Nu am fost la timp la școală în dimineața asta.
Help me for just a minute.,Ajută-mă doar pentru un minut.
Can you reach the box on that shelf?,Poți să ajungi la cutia de pe raftul ăla?
Tom is just a regular guy.,Tom e doar un tip obișnuit.
I put my desk by the window.,Am pus biroul la fereastră.
There are a lot of big cities in Brazil.,Sunt multe orașe mari în Brazilia.
Why aren't you dressed?,De ce nu te-ai îmbrăcat?
They wanted protection.,Ei vreau protecție.
I am more beautiful than you.,Eu sunt mai frumos decât tine.
Everything's running like clockwork.,Totul merge strună.
I think it's unlikely that a situation like this one would ever occur again.,Cred că e improbabil ca o situație ca aceasta să se întâmple vreodată din nou.
That girl resembles her mother.,Fata seamănă cu mama sa.
You didn't tell him anything?,Nu i-ai spus nimic?
The investigation will probably bring a lot of details to light.,Probabil că ancheta va scoate la lumină multe detalii.
Come eat with us.,Tu să vii să mănânci cu noi.
Please obey the school rules.,Sunteți rugați să respectați regulile școlii.
Weren't you tired?,Nu ați fost obosit?
I have a Facebook account.,Am un cont de Facebook.
Did you break the lamp?,Ai spart lampa?
You like apples.,Ție îți plac merele.
There are few bookstores in this area.,Există librăriile puține în această zonă.
Could you drive Tom home?,Ai putea să-l conduci pe Tom acasă?
This is my property.,Aceasta este proprietatea mea.
Don't waste ammunition.,Nu irosi muniția.
He tried to learn French.,El a încercat să învețe franceza.
"Where have you been? ""I've been to the dentist.""",- Unde ai fost? - Am fost la dentist.
It is this window that he broke.,Asta e fereastra pe care el a spart-o.
Tom had Mary correct his essay.,Tom i-a cerut lui Mary să-i corecteze eseul.
I believe you.,Te cred.
I don't want to live alone.,Nu vreau să trăiesc singur.
Don't be silly.,Nu fi prost.
I'll call Tom myself.,Îl voi contacta eu pe Tom.
Tom said he was ready to do whatever was necessary.,Tom a spus că este gata să facă tot ce este necesar.
Fish live in the sea.,Peștii trăiesc în mare.
Tom took a handful of popcorn from the bowl.,Tom a luat o mână de popcorn din castron.
He had an injection prior to the operation.,I s-a făcut o injecţie înainte de operaţie.
I didn't drink the water.,Nu am băut apa.
Clean up the kitchen.,Curăță bucătăria.
We don't know exactly.,Nu știm exact.
Many fantasy novels depict worlds with two moons.,Multe romane fantastice descriu lumi cu două luni.
We're not worried about it.,Noi nu suntem îngrijorați de asta.
Wait a minute.,Stai puțin.
Tom shook his head in disbelief.,Tom a dat din cap cu neîncredere.
I didn't agree to pay Tom that much.,N-am fost de acord să-l plătesc pe Tom atât de mult.
What's under the blanket?,Ce este sub pătură?
Tom can't get his ring off his finger.,Tom nu-și poate scoate inelul de pe deget.
I'm staying at that hotel.,Stau la hotelul acela.
President Taft wrote a warm goodbye letter to his friend.,Preşedintele Taft a scris o scrisoare călduroasă de adio prietenului său.
There is a mistake in her composition.,Există o greşeală în eseul ei.
That's a great suggestion.,Asta e o sugestie bună.
It was because of the storm that the trains were halted.,Trenurile au fost oprite din cauza furtunii.
We're doing that now.,Facem asta chiar acum.
Some major challenges remain.,Unele provocări majore rămân.
My shoes are too small. I need new ones.,Pantofii îmi sunt prea mici. Am nevoie de unii noi.
President Clinton denied any dishonorable actions.,Președintele Clinton a negat orice acțiuni dezonorabile.
Which airport do I leave from?,De la ce aeroport plec?
I like that tie of yours.,Îmi place cravata aia a ta.
I wouldn't be too surprised if you saw a snake.,Nu aș fi foarte surprins dacă ai vedea un șarpe.
Lightning can be dangerous.,Fulgerele pot fi periculoase.
Tom looks the same as before.,Tom arată la fel ca înainte.
I told Tom to wear a tie.,I-am spus lui Tom să poarte o cravată.
New factories and industrial centers were built.,Noi fabrici și centre industriale au fost construite.
"Tom had intended to go with Mary, but something came up and he couldn't.","Tom a intenționat să meargă cu Mary, dar ceva s-a întâmplat și nu a mai putut."
The doctor gave him some drugs to relieve the pain.,Doctorul i-a dat niște medicamente pentru a-i calma durerea.
Mary doesn't have a husband.,Mary nu are un soț.
He is able to play the flute.,El poate să cânte la fluier.
"Let's decide what needs to be decided, then let's split into two teams, OK?","Să decidem ce avem de decis, apoi să ne împărțim in două echipe, OK?"
"Where are the eggs, please?","Unde sunt ouăle, te rog?"
Tom cleaned his glasses.,Tom și-a curățat ochelarii.
Tom's dog left muddy paw prints all over his new carpet.,Câinele lui Tom a lăsat urme de noroi pe covorul lui cel nou.
I appreciate the gesture.,Apreciez gestul.
Tom couldn't get his car to start.,Tom n-a reuşit să îşi pornească maşina.
I have to go home and do my homework.,Trebuie să merg acasă și să-mi fac temele.
This is a serious setback.,Acesta este un regres serios.
Would you mind speaking a little louder?,Vrei să vorbești puțin mai tare?
Our class consists of 40 boys.,Clasa noastră e formată din 40 de băieţi.
"She doesn't understand me, either.",Nici ea nu mă înțelege.
He passed across the border.,A traversat frontiera.
Tom's family moved around quite a bit when he was a kid.,Familia lui Tom s-a tot mutat când el era copil.
Tom passed away last week.,Tom a murit săptămâna trecută.
We met her by accident.,Am întâlnit-o din întâmplare.
This novel is interesting enough.,Acest roman este destul de interesant.
I live in a remote area.,Locuiesc într-o zonă îndepărtată.
Tom says he expects Mary to be back on Monday.,Tom spune că se așteaptă ca Mary să se întoarcă luni.
I promised Tom we wouldn't do that.,I-am promis lui Tom că nu vom face asta.
I agree with your assessment.,Sunt de acord cu evaluarea ta.
There was something odd about the way Tom looked at me yesterday.,A fost ceva ciudat în felul în care Tom s-a uitat la mine ieri.
Who am I talking to?,Cu cine vorbesc?
I'll come to pick it up later.,Voi veni să îl ridic mai târziu.
He was coerced into helping the thieves.,El a fost forțat să-i ajute pe hoți.
You're braver than me.,Ești mai curajos decât mine.
My mother is sick in bed.,"Mama me e la pat, e bolnavă."
The loss must be made up for next month.,Pierderea trebuie recâștigată luna viitoare.
I can't pinpoint the problem.,Nu pot identifica problema.
They formed a swim team.,Au format o echipă de natație.
She became a nurse.,Ea a devenit asistentă.
Are you afraid of death?,Ți-e frică de moarte?
Your medicine is ready.,Leacul tău e pregătit.
He went back to Japan.,El s-a întors în Japonia.
He goes to school by bicycle.,El merge la școală cu bicicleta.
The proof is trivial.,Demonstrația e banală.
This is simple.,Acesta este simplu.
Turn your face this way.,Întoarce-ți fața în direcția asta.
You can use it anytime.,Îl poţi folosi oricând.
How deep is this lake?,Cât de adânc este lacul ăsta?
Tom doesn't know how to play golf.,Tom nu știe să joace golf.
I know what I did.,Știu ce-am făcut
A cry arose from the crowd.,Un strigăt a ieșit din mulțime.
I can't drink any more.,Nu mai pot bea.
He has an uncontrollable temper.,El are un temperament incontrolabil.
Not all blondes are dumb.,Nu toate blondele sunt proaste.
Tom had lunch with Mary.,Tom a luat prânzul cu Mary.
Tom walked away.,Tom a plecat.
I'm feeling fine now.,Mă simt bine acum.
Tom climbed down from the roof.,Tom a coborât de pe acoperiș.
Most of the Dutch in New Amsterdam did not leave.,Cei mai mulți dintre olandezii din Noul Amsterdam nu au plecat.
Do you like this flower?,Îţi place floarea aceasta?
I hate chemistry.,Urăsc chimia.
We're not happy with this.,Nu suntem fericiți cu asta.
I'm not accustomed to such treatment.,Nu sunt obișnuită cu un asemenea tratament.
Butter is made from cream.,Untul este făcut din smântână.
I had no alternative.,N-am avut nici o alternativă.
He had his share of luck.,El a avut partea lui de noroc.
"I don't know about you, but I'm starving.","Nu știu de tine, dar eu sunt mort de foame."
Why is life so full of suffering?,De ce este viața atât de plină de suferință?
A number of traffic accidents have happened recently.,O serie de accidente rutiere au avut loc recent.
Tom didn't utter a word.,Tom nu a rostit nici un cuvânt.
Tom says it's an emergency.,Tom spune că asta este o situaţie de criză.
No one was hit.,Nimeni nu a fost lovit.
Those records are not accessible to the public.,Aceste înregistrări nu sunt accesibile publicului.
Watch me do it again.,Privește-mă cum o fac din nou.
Life without love is just totally pointless.,Viața fără dragoste e pur și simplu complet inutilă.
The middle one is mine.,Cea din mijloc este a mea.
Pick up the gun.,Ridică arma.
She gave them some apples.,Le-a dat câteva mere.
I won't lose!,Nu voi pierde.
I live near here.,Locuiesc aproape de aici.
I don't know who painted this picture.,Nu știu cine a pictat acest tablou.
What's today's menu?,Care e meniul zilei?
Tom bakes bread once a week.,Tom coace pâine o dată pe săptămână.
It's been three years since Tom left Boston.,Sunt trei ani de când Tom a părăsit Bostonul.
"I've visited many countries, but I like Japan best of all.","Am vizitat multe ţări, dar îmi place cel mai mult Japonia."
Give him the benefit of the doubt.,Acordă-i prezumţia de nevinovăţie.
I forgot to put a stamp on the envelope.,Am uitat să lipsesc un timbru pe plic.
Rosa Parks was arrested.,Rosa Parks a fost arestată.
Tom doesn't know when Mary will leave Boston.,Tom nu știe când Mary va pleca din Boston.
We must talk.,Trebuie să vorbim.
You need to pay in advance.,Trebuie să plăteşti în avans.
The fog is getting thicker.,Ceața se îngroașă.
The majority didn't accept the proposal.,Majoritatea nu au acceptat oferta.
Can anyone help me?,Mă poate ajuta cineva?
We need many other things.,Avem nevoie de multe alte lucruri.
Tom got married to an older woman.,Tom s-a căsătorit cu o femeie mai în vârsta.
I can't write in Chinese.,Nu pot scrie în chineză.
I must visit my friend in the hospital.,Trebuie să-i fac o vizită prietenului meu în spital.
Tom still has the knapsack his father gave him.,Tom încă are rucsacul pe care tatăl său i l-a dat.
The program does not allow for changes at this point in time.,Programul nu permite modificări în acest moment.
Tom is in stable condition.,Tom e într-o condiție stabilă.
Tom probably dyes his hair.,Poate că Tom își vopsește părul.
Tom knows Mary's dog's name.,Tom știe numele câinelui Mariei.
I'm tired of this place.,M-am săturat de acest loc.
"Even though he apologized, I'm still furious.","Chiar dacă și-a cerut scuze, sunt tot furios."
I was the second to last person to hear the bad news.,Am fost penultima persoană care a auzit veștile rele.
The affair cost me many sleepless nights.,Acest subiect m-a costat multe nopți nedormite.
I don't know whether to go away or to stay where I am.,Nu știu dacă să plec sau să rămân unde sunt.
That has nothing to do with me.,Nu are nimic a face cu mine.
Give me a little money.,Dă-mi câțiva bani.
"Tom doesn't like Mary, but I like her.","Tom nu o place pe Mary, dar eu o plac."
Tom cried.,Tom a plâns.
That wasn't my intention.,Nu a fost intenția mea.
What has brought you here?,Ce te-a adus aici?
Air is to man what water is to fish.,Aerul este pentru oameni ceea ce apa este pentru pești.
I'll always believe in you.,Voi avea încredere în tine mereu.
He has access to the stored information.,Are acces la informaţia înmagazinată.
Tom was beaten severely.,Tom a fost bătut serios.
Tom hates these things.,Tom detestă aceste lucruri.
I have to go to the toilet.,Am nevoie la toaletă.
I'm not sure about this.,Nu sunt sigur despre asta.
You must not do it now.,Trebuie să nu o faci acum.
I think Tom is still confused.,Cred că Tom este încă confuz.
He is in the money.,E în bani.
Where is the bathroom?,Unde este toaleta?
I love my wife.,Îmi iubesc soția.
How did you get to know him?,Cum ai ajuns să-l cunoști?
He tried to kill himself.,El a încercat să se omoare.
I don't understand what he wants me to do.,Nu pricep ce vrea el să fac.
I suppose he will be late.,Presupun că va întârzia.
You'd better believe it.,Ai face bine să crezi asta.
She did the work carefully.,Ea a lucrat cu grijă.
My uncle lived a happy life and died a peaceful death.,Unchiul meu a trăit o viaţă fericită şi a avut parte de o moarte liniştită.
Would you please close that window?,"Vrei, te rog, să închizi acea fereastră?"
We use words in order to communicate.,Noi folosim cuvinte pentru a comunica.
Tom smokes two or three cigarettes a day.,Tom fumează două sau trei țigări pe zi.
He admitted that he was wrong.,El a admis că a greșit.
Thank you for your hospitality.,Vă mulțumim pentru ospitalitatea voastră.
Tom tried to find out where Mary had gone.,Tom a încercat să afle unde a plecat Mary.
The demand is very real.,Cererea este foarte reală.
We know where you've been.,Știm unde ai fost.
Tom generally takes the bus to work.,"În general, Tom ia autobuzul pentru a merge la serviciu."
I made my decision.,Am luat o decizie.
We should work faster.,Trebuie să muncim mai repede.
Let me help.,Să v-ajut.
I couldn't make him understand my English.,Nu l-am putut face să înțeleagă engleza mea.
Look at that big dog.,Privește la câinele ăla mare.
"I've had my ups and downs, but I've always managed to pull myself together.","Am avut suișuri și coborâșuri, dar am reușit întotdeauna să îmi revin."
Tom had an asthma attack.,Tom a avut un atac de astm.
It doesn't bother me to walk in the rain.,Nu mă deranjează să merg prin ploaie.
Tom's face suddenly went blank.,Fața lui Tom deveni dintr-odată lipsit de expresie.
You may or may not win.,Poți câștiga sau e posibil să nu poți câștiga.
What time is your train?,Când ai trenul?
I've just been mugged.,Tocmai am fost jefuit.
The house is warm.,Casa e călduroasă.
Tom died in a plane crash.,Tom a murit într-un accident de avion.
I'll leave it to you to buy the tickets.,Te las pe tine să cumperi biletele.
I cannot afford to buy a car.,Nu-mi pot permite să cumpăr o mașină.
I wasn't scared.,Nu m-am speriat.
Look at me when I talk to you!,Uită-te la mine când vorbesc cu tine!
Maybe we can help you.,Poate noi te putem ajuta.
It's raining.,Plouă!
The string is very weak.,Frânghia e foarte slabă.
You can do whatever you want to.,Puteți să faceți orice vreți.
Shall we go together?,Să mergem împreună?
"Let's face it, it's impossible. We're never gonna make it.","Să recunoaștem, e imposibil. Nu vom reuși niciodată."
This is a joke.,Aceasta este o glumă.
He's a gardener.,El este grădinar.
What's the forecast for tomorrow?,Care este prognoza meteo pentru ziua de mâine?
Tom says that he is able to communicate with the dead.,Tom spune că este capabil să comunice cu morții.
Have you already decided where to go?,Te-ai decis deja unde vei merge?
How about playing baseball?,"Ce zici, jucăm baseball?"
I want to know more about your country.,Vreau să știu mai multe despre țara ta.
It took me three hours to do my homework.,Mi-a luat trei ore să-mi fac temele.
Tom doesn't like people who smoke in no smoking areas.,Lui Tom nu-i plac oamenii care fumează în locurile cu fumatul interzis.
Look at me when I'm talking to you!,Uită-te la mine când vorbesc cu tine!
What's the average cost of a wedding?,Care este costul mediu al unei nunți?
Tom wished that he could play the guitar.,Tom a dorit să poată cânta la chitară.
We need accommodation for six.,Avem nevoie de cazare pentru șase persoane.
Thank you very much for your help.,Vă mulțumesc foarte mult pentru ajutor.
You aren't perfect.,Voi nu sunteți perfecți.
Tom and Mary almost always play tennis after school.,Tom și Mary aproape întotdeauna joacă tenis după școală.
Are you bored?,Te-ai plictisit?
Mind your own business!,Vezi-ți de treaba ta!
"Either he is to blame, or I am.","Fie el e de vină, fie eu sunt."
Throw the dice.,Dă cu zarul!
A lack of sleep affected the singer's performance.,O lipsă de somn a afectat prestația cântărețului.
"Year after year, production continued to increase.","An după an, producția a continuat să crească."
What time do you get up in the morning?,La ce oră te trezești dimineața?
I need some help.,Am nevoie de niște ajutor.
I had a nightmare last night.,Am avut un vis urât noaptea trecută.
I can't understand.,Nu pot să înțeleg.
They all drowned.,Ei toți s-au înecat.
This gun is reportedly very powerful.,"Conform spuselor, această armă este foarte puternică."
Do you know when they'll arrive?,Știi când vor sosi?
I didn't know you used to live in Boston.,Nu am știut că ai locuit în Boston.
I can't believe Tom ate the whole thing.,Nu pot să cred că Tom a mâncat totul.
"Which is older, this book or that one?","Care e mai veche, această carte sau cealaltă?"
"Even though Tom is only sixteen, he looks like he's over twenty.","Chiar dacă Tom are doar șaisprezece ani, el arată ca și cum ar avea peste douăzeci."
Is the lake deep?,E adânc lacul?
They're going to a charity event.,Ei se duc la un eveniment de caritate.
I will go along with your plan.,Voi urma planul tău.
We are faced with a difficult choice.,Suntem în faţa unei alegeri dificile.
He prepared supper by himself.,El și-a preparat cina de unul singur.
How do you feel now?,Cum vă simțiți acum?
Yesterday was Sunday.,Ieri a fost duminică.
I was convicted.,Am fost condamnat.
She taught me how to write a poem.,Ea m-a învățat cum să scriu o poezie.
"I was planning on going to the beach today, but then it started to rain.","Plănuiam să merg la plajă azi, dar atunci a început să plouă."
"As far as I know, he has never made such a mistake.","Din câte știu, el nu a făcut niciodată aşa o greşeală."
That's how it is done.,Așa se face asta.
"I think if I talked more often with a native speaker, my English skills would improve quickly.","Cred că dacă aș vorbi mai des cu un vorbitor nativ, abilitățile mele în engleză s-ar îmbunătăți repede."
Kumi is the girl whose father likes dogs.,Kumi este fata al cărei tată îi plac căinii.
Humans were never meant to live forever.,Oamenii n-au fost niciodată destinați să trăiască pentru totdeauna.
He went in search of gold.,A plecat să caute aur.
It's rarely nice weather at Easter.,Rar este vreme frumoasă de Paști.
School starts in September in Europe.,Școala începe în septembrie în Europa.
I felt very happy.,M-am simțit foarte fericit.
You must be back before ten.,Trebuie să te întorci pâna la ora zece.
Electric power companies are seeking to reduce their use of coal.,Companiile producătoare de energie încearcă să-și reducă dependența de cărbune.
Tom left a message on Mary's answering machine.,Tom i-a lăsat Mariei un mesaj pe robot.
Please call him up.,Te rog să-l suni.
Why are you drinking water?,De ce bei apă?
Tom is sure Mary was lying.,Tom este sigur că Mary mințea.
Commodity prices were rising.,Prețurile mărfurilor creșteau.
His office is very close to mine.,Biroul lui este foarte aproape de al meu.
No one on either side was killed.,Nimeni din nici o tabără nu a fost omorât.
How many dictionaries do you have?,Cât de multe dicționare ai?
Please send me a picture of yourself.,Te rog trimite-mi o poză cu tine.
Some English adverbs function as adjectives.,"Anumite adverbe din limba engleză, îndeplinesc funcția de adjectiv."
Are you getting paid for this?,Ești plătită pentru asta?
This is a scary place.,Acesta este un loc înfricoșător.
Tom scored the first goal.,Tom a înscris primul gol.
Why are you sorry for something you haven't done?,De ce îți pare rău pentru ceva ce n-ai făcut?
It's easy.,Este ușor.
There are a lot of books in his room.,Sunt o mulţime de cărţi în camera lui.
Children need loving.,Copiii au nevoie de iubire.
He was playing football with an empty can.,Juca fotbal cu o conservă goală.
It doesn't matter whether you do that or not.,Nu contează dacă faci asta sau nu.
He bought a new pair of shoes.,A cumpărat o pereche nouă de pantofi.
He is devoid of human feeling.,El este lipsit de sentimente umane.
Won't you come to the party tomorrow?,Nu vei veni la petrecere mâine?
How long have you had this car?,De cât timp ai mașina asta?
I'll be free tomorrow afternoon.,Voi fi liber mâine după-amiază.
I tried to take our dog out of our house.,Am încercat să scot câinele afară din casă.
I suppose you like her.,Presupun că-ți place de ea.
He picked up a stone.,A luat o piatră de pe jos.
This is excellent wine.,Acesta e un vin excelent.
I dislike swimming.,Nu-mi place să înot.
Few roads existed in North America at that time.,Puține drumuri existau în America de Nord la acea vreme.
Tom wasn't part of the scandal.,Tom nu era implicat în scandal.
Exports have been sluggish.,Exporturile au încetinit.
People who ignore history tend to repeat it.,Oamenii care ignoră istoria tind să o repete.
The flight attendant shook Tom awake and told him that the plane had landed.,Însoțitoarea de zbor l-a zgâlțîit pe Tom ca să-l trezească și i-a spus că avionul aterizase.
I hope he will overlook it.,Sper că îl va omite.
Tom is wasting time.,Tom pierde vremea.
I wonder if this is love.,Mă întreb dacă asta este dragoste.
"You are a professional, but I am an amateur.","Eşti profesionist, dar eu sunt amator."
Our car ran out of gas after ten minutes.,Maşina noastră a rămas fără combustibil după zece minute.
Tom prayed for Mary to get well.,Tom s-a rugat ca Mary să se facă bine.
There is a limit of two pieces of luggage for each passenger.,Există o limită de două bagaje pentru fiecare pasager.
I enjoy reading books in French.,Îmi place să citesc cărți în franceză.
Tom weighs just 33 pounds.,Tom cântărește 33 de livre.
I wonder what language they speak in Brazil.,Mă întreb ce limbă se vorbeşte în Brazilia.
Your support is overwhelmingly awesome.,Sprijinul dumneavoastră este extrem de minunat.
Don't mislead me.,Nu mă duce pe căi greșite.
I need to be alone so I can think.,Am nevoie să fiu singur că să mă pot gândi.
I have to write a letter.,Trebuie să scriu o scrisoare.
Tom is devoid of common sense.,Tom este lipsit de bun simț.
I think it's time for me to get a new email address.,Cred că a venit vremea pentru mine să-mi iau o nouă adresă de email.
What grade are you in?,În ce clasă ești?
How do you feel now?,Cum te simți acum?
Suicide is a desperate act.,Sinuciderea este un act de disperare.
Tom acknowledged that what he said earlier was not true.,Tom a recunoscut că ceea ce a zis mai devreme nu era adevărat.
They were criticizing each other.,Ei s-au criticat reciproc.
It is very hot today.,Astăzi este foarte cald.
How much is an apple?,Cât costă un măr?
Too late.,Prea târziu.
I'll come over this evening.,Voi veni pe la voi în seara asta.
Tom loves being outdoors.,Tom iubește să fie în aer liber.
The police found a suicide note in Tom's pocket.,Poliția a găsit un bilet de adio în buzunarul lui Tom.
I count on your help.,Contez pe ajutorul tău.
When was the last time we met?,Când a fost ultima oară când ne-am întâlnit?
Let's hurry back to our hotel.,Să ne întoarcem în grabă la hotelul nostru.
A monument was erected in memory of the deceased.,Un monument a fost ridicat în memoria persoanei decedate.
"When it comes to cooking, no one can beat me.","Când vine vorba de gătit, nimeni nu mă întrece."
Tom closed his diary after writing about that day's events.,Tom și-a închis jurnalul după ce a scris despre evenimentele acelei zile.
Swimming is a form of exercise.,Înotul este un fel de exercițiu.
I can't go even if I wanted to.,Chiar dacă vreau nu mă pot duce.
Tom can't eat it all himself.,Tom nu poată mânca totul de unul singur.
They like apples.,Lor le plac merele.
Leave me alone.,Lasă-mă în pace.
Tom didn't tell me about you.,Tom nu mi-a spus despre tine.
I like jazz music.,Îmi place jazzul.
Why didn't you come to ask me earlier?,De ce n-ai venit să mă întrebi mai devreme?
When do you leave here?,Când pleci de aici?
You're just running away from life's problems.,Pur și simplu fugi de problemele vieții.
He looked over my report.,El s-a uitat peste raportul meu.
I visited Fukuoka ten years ago.,Am vizitat Fukuoka acum zece ani.
I thought he was there.,Am crezut că el a fost acolo.
You can trust us.,Poți avea încredere în noi.
We're quite confident.,Suntem destul de încrezători.
He helped me carry the chair.,El m-a ajutat să duc scaunul.
He attributes his success to good luck.,El consideră succesul său datorându-se norocului.
Where's the toilet?,Unde este toaleta?
It is important to know your own limitations.,Este important sa îți cunoști propriile limite.
I found the gloves that were under the chair.,Am găsit mănușile care erau sub scaun.
The young girl burst into tears.,Fetiţa a izbucnit în lacrimi.
You're such a cute boy.,Ești un băiat atât de drăguț.
How many apples do you want?,Câte mere vrei?
"When I'm home alone, the house is too quiet.","Când sunt singur acasă, e prea linişte."
She is accustomed to sitting.,Ea este obişnuită cu şezutul.
Don't make a mistake.,Să nu greșești.
"She likes music. ""So do I.""",- Îi place muzica. - Și mie.
"Bring one for me, too.",Adu-mi și mie una.
Tom knows who Mary is.,Tom știe cine e Mary.
What's the time?,Cât e ceasul?
Tom is a friend of mine.,Tom este un prieten de-al meu.
I am accustomed to the climate.,Sunt obișnuit cu climatul.
You seem to be having second thoughts.,Se pare că ai îndoieli.
Where's the bathroom?,Unde este toaleta?
Give me one dollar for the book.,Dă-mi un dolar pentru carte.
Tom knows many things.,Tom știe multe lucruri.
There's always someone talking.,Întotdeauna e cineva care vorbeşte.
It was not until the next day that they found her.,De abia ziua următoare ei au găsit-o.
Everything is steadily deteriorating.,Totul se degradează în mod constant.
I'm not mad. I'm just disappointed.,Nu sunt supărat. Sunt doar dezamăgit.
"In situations like these, it's best to remain calm.","În situaţii ca acestea, e mai bine să rămâi calm."
Many businesses closed down.,Numeroase întreprinderi au fost închise.
I can't tell you when Tom will get here.,Nu-ți pot spune când Tom va ajunge aici.
Everyone loves him.,Toți îl iubesc.
Just tell me what you want me to do.,Doar spune-mi ce dorești să fac.
I agree with you that we need more women in this company.,Sunt de acord cu tine că avem nevoie de mai multe femei în această firmă.
I knew you could beat Tom easily.,Știam că-l poți bate ușor pe Tom.
Don't let anyone enter the room.,Nu lăsa pe nimeni să intre în cameră.
Hurry!,Haide!
A button has come off the coat.,A căzut un nasture de la geacă.
Tom doesn't care how Mary dresses.,Lui Tom nu-i pasă cum se îmbracă Mary.
I don't like this type of house.,Nu îmi place genul acesta de casă.
Tom had flu-like symptoms.,Tom are simptome de gripă.
I can win.,Eu pot câștiga.
He managed to read a book written in French.,El a reușit să citească o carte scrisă în franceză.
Tom was happy about that.,Tom era fericit cu situația.
My dad is busy.,Tatăl meu este ocupat.
Cheers!,Noroc!
I've never come across such a strange case.,Nu am dat niciodată peste un caz atât de ciudat.
Watch out! There's a big hole there.,Atenție! E o gaură mare acolo.
I was late for the meeting because of a traffic jam.,Am întârziat la întâlnire din cauza ambuteiajului.
I wasn't feeling very well.,Nu m-am simțit foarte bine.
I'm not a doctor.,Nu sunt medic.
I wanted you to see it.,Doream să o vezi și tu.
How many more years do you think Tom will have to do that?,Câți ani crezi că Tom va trebui să facă asta?
I work for a travel agency.,Lucrez la o agenţie de voiaj.
"OK guys, I really need something to drink.","Ok, băieţi, chiar am nevoie de ceva de băut."
It's not going to snow today.,Nu va ninge astăzi.
I think it's highly unlikely that I'll ever see my stolen motorcycle again.,Cred că e foarte puțin probabil că-mi voi revedea vreodată motocicleta furată.
How much is this dress?,Cât costă rochia aceasta?
I'm bored with my life.,Sunt sătul de viața mea.
Holmes went out of the room without being noticed by anyone.,Holmes a ieşit din cameră fără să fie observat de nimeni.
She came to see us yesterday.,A venit să ne vadă ieri.
You are off the point.,Ești pe lângă subiect.
